ARHGAP26,Q9UNA1
ARHGAP32,A7KAX9
ARHGAP35,Q9NRY4-2
ARHGAP44,Q17R89
ARHGEF10,O15013-5
ARHGEF10L,Q9HCE6
ARHGEF12,Q9NZN5
ARHGEF15,O94989
ARHGEF17,Q96PE2
ARHGEF18,Q6ZSZ5
ARHGEF26,Q96DR7
ARHGEF37,A1IGU5
ARHGEF38,Q9NXL2
ARHGEF40,Q8TER5
ARHGEF6,Q15052
ARID1A,O14497
ARID2,Q68CP9
ARID4A,P29374
ARID5B,Q14865
ARL13B,Q3SXY8
ARL14EP,Q8N8R7
ARL17A,Q8IVW1
ARL2BP,Q9Y2Y0
ARL4A,P40617
ARL6IP4,Q66PJ3
ARL9,Q6T311
ARMC12,Q5T9G4-2
ARMC2,Q8NEN0
ARMC3,Q5W041
ARMC5,Q96C12
ARMC9,Q7Z3E5
ARMT1,Q9H993
ARNTL2,Q8WYA1
ARRDC2,Q8TBH0
ARRDC4,Q8NCT1
ART3,Q13508
ASAH1,Q13510
ASB15,Q8WXK1
ASB16,Q96NS5
ASB2,Q96Q27
ASB7,Q9H672
ASCC2,Q9H1I8
ASCC3,Q8N3C0
ASCL3,Q9NQ33
ASF1A,Q9Y294
ASGR2,P07307
ASIC3,Q9UHC3-3
ASTN1,O14525-2
ASXL1,Q8IXJ9
ASXL2,Q76L83
ASXL3,Q9C0F0
ATAD2B,Q9ULI0
ATAD5,Q96QE3
ATF6,P18850
ATF6B,Q99941
ATF7IP,Q6VMQ6
ATF7IP2,Q5U623
ATG13,O75143
ATG3,Q9NT62
ATG4D,Q86TL0
ATG5,Q9H1Y0
ATIC,P31939
ATL1,G5E9T1
ATM,Q13315
ATN1,P54259
ATP10D,Q9P241
ATP11B,Q9Y2G3
ATP12A,P54707
ATP1A1,P05023
ATP1A4,Q13733
ATP1B2,P14415
ATP2A3,G3XAE1
ATP2B4,P23634-6
ATP2C2,O75185
ATP5F1C,P36542
ATP5IF1,Q9UII2
ATP6AP1L,Q52LC2
ATP6V0A1,B7Z3B7
ATP6V0A2,Q9Y487
ATP6V0E2,E9PAS2
ATP6V1B1,P15313
ATP6V1C1,P21283
ATP6V1C2,Q8NEY4
ATP6V1G1,O75348
ATP7B,P35670
ATP8A2,Q9NTI2
ATP8B4,Q8TF62
ATP9B,O43861
ATPAF2,Q8N5M1
ATR,Q13535
ATRN,O75882
ATXN10,Q9UBB4
ATXN1L,P0C7T5
ATXN7,O15265-2
AVPR1A,P37288
AXL,P30530
AZGP1,P25311
AZIN2,Q96A70
B3GNT3,Q9Y2A9
B4GALNT3,Q6L9W6
BAAT,Q14032
BAHD1,Q8TBE0
BAIAP3,O94812
BAMBI,Q13145
BAP1,Q92560
BATF,Q16520
BAX,Q07812-2
BAZ2A,Q9UIF9
BBS1,Q8NFJ9
BBS12,Q6ZW61
BBS2,Q9BXC9
BBX,Q8WY36
BCAR3,O75815
BCAS3,Q9H6U6
BCHE,P06276
BCKDHA,P12694
BCL10,O95999
BCL2L13,Q9BXK5
BCL2L14,Q9BZR8
BCL3,P20749
BCL6,P41182
BCL9,O00512
BCO1,Q9HAY6
BCR,P11274
BCS1L,Q9Y276
BDP1,A6H8Y1
BEST2,Q8NFU1
BFSP2,Q13515
BHMT,Q93088
BICC1,Q9H694
BICRAL,Q6AI39
BIRC3,Q13489
BIRC6,Q9NR09
BLK,P51451
BLM,P54132
BMI1,P35226
BMP3,P12645
BMP6,P22004
BMPR1A,P36894
BMPR2,Q13873
BMS1,Q14692
BMT2,Q1RMZ1
BNC2,Q6ZN30
BOC,Q9BWV1
BOD1L1,Q8NFC6
BOLL,Q8N9W6-3
BOP1,Q14137
BPHL,Q86WA6
BPI,P17213
BPIFA3,Q9BQP9
BPIFB1,Q8TDL5
BPIFB2,Q8N4F0
BPIFB4,P59827
BPIFB6,Q8NFQ5
BPTF,Q12830-2
BRAF,P15056
BRCA1,P38398
BRCA2,P51587
BRD2,P25440
BRD8,Q9H0E9
BRDT,Q58F21
BRINP2,Q9C0B6
BRINP3,Q76B58
BRIP1,Q9BX63
BRIX1,Q8TDN6
BRK1,Q8WUW1
BRMS1,G5E9I4
BRPF1,P55201-2
BSDC1,Q9NW68
BSN,Q9UPA5
BSND,Q8WZ55
BSPRY,Q5W0U4
BST1,Q10588
BTAF1,O14981
BTBD11,A6QL63
BTBD16,Q32M84
BTBD2,Q9BX70
BTBD3,Q9Y2F9
BTBD8,E9PEZ5
BTC,P35070
BTD,P43251
BTK,Q06187
BTN1A1,Q13410
BTN3A3,O00478
BTNL2,Q9UIR0
BTNL3,Q6UXE8
BTNL9,Q6UXG8
BUB1,O43683
BUB1B,O60566
BYSL,Q13895
C10orf53,B9ZVK6
C10orf71,Q711Q0-3
C11orf1,Q9H5F2
C11orf40,Q8WZ69
C11orf53,Q8IXP5
C11orf57,Q6ZUT1-2
C11orf65,Q8NCR3
C12orf4,Q9NQ89
C12orf40,Q86WS4
C12orf74,Q32Q52
C14orf28,Q4W4Y0
C15orf39,Q6ZRI6
C15orf62,A8K5M9
C16orf46,Q6P387
C16orf78,Q8WTQ4
C17orf64,Q86WR6
C17orf77,Q96MU5
C17orf80,Q9BSJ5
C17orf99,Q6UX52
C18orf25,Q96B23
C18orf54,Q8IYD9-2
C19orf38,A8MVS5
C19orf57,Q0VDD7-2
C1GALT1,Q9NS00
C1S,P09871
C1orf112,Q9NSG2
C1orf116,Q9BW04
C1orf146,Q5VVC0
C1orf94,Q6P1W5
C20orf202,A1L168
C21orf91,Q9NYK6
C2CD3,Q4AC94-1
C2orf16,Q68DN1
C2orf42,Q9NWW7
C2orf74,A8MZ97
C3,P01024
C3orf36,Q3SXR2
C4A,P0C0L4
C4BPA,P04003
C5,P01031
C5orf22,Q49AR2
C5orf24,Q7Z6I8
C5orf34,Q96MH7
C5orf52,A6NGY3
C5orf58,C9J3I9
C5orf60,A6NFR6-4
C6orf118,Q5T5N4
C6orf58,Q6P5S2
C7,P10643
C7orf31,Q8N865
C7orf33,Q8WU49
C7orf57,Q8NEG2
C8orf31,Q8N9H6
C8orf48,Q96LL4
C8orf74,Q6P047
C9orf135,Q5VTT2
C9orf173,Q8N7X2-4
C9orf3,Q8N6M6-2
C9orf43,Q8TAL5
C9orf47,Q6ZRZ4-2
C9orf64,Q5T6V5
C9orf72,Q96LT7
C9orf85,Q96MD7-1
CA13,Q8N1Q1
CA14,Q9ULX7
CAB39,Q9Y376
CABIN1,Q9Y6J0
CACHD1,Q5VU97
CACNA1A,O00555
CACNA1D,Q01668-2
CACNA1E,Q15878-3
CACNA1F,O60840
CACNA1I,Q9P0X4-4
CACNA2D3,Q8IZS8
CACNB3,P54284
CADPS,Q9ULU8
CADPS2,Q86UW7-2
CALCA,P01258
CALCRL,Q16602
CALD1,Q05682
CALHM2,Q9HA72
CALHM5,Q8N5C1
CALHM6,Q5R3K3
CALM2,P62158
CALML3,P27482
CALML6,Q8TD86
CAMLG,P49069
CAMSAP2,Q08AD1-3
CAMTA2,O94983
CAND2,O75155
CANX,P27824
CAPN11,Q9UMQ6
CAPN15,O75808
CAPN2,P17655
CAPN3,P20807-3
CAPN5,O15484
CAPN6,Q9Y6Q1
CAPN9,O14815
CAPNS2,Q96L46
CAPZA1,P52907
CARF,Q8N187
CARMIL2,Q6F5E8
CARMIL3,Q8ND23
CARNS1,A5YM72
CARS2,Q9HA77
CARTPT,Q16568
CASC5,Q8NG31-2
CASP1,P29466
CASP5,P51878-5
CASS4,Q9NQ75
CATSPER2,Q96P56
CATSPER3,Q86XQ3
CATSPERD,Q86XM0
CATSPERE,Q5SY80
CAV1,Q03135
CAV3,P56539
CAVIN1,Q6NZI2
CAVIN2,O95810
CAVIN4,Q5BKX8
CBFA2T2,F8W6D7
CBL,P22681
CBLB,Q13191
CBLC,Q9ULV8
CBLIF,P27352
CBS,P35520
CBWD1,Q9BRT8
CC2D1A,Q6P1N0
CC2D1B,Q5T0F9
CCAR2,Q8N163
CCDC103,Q8IW40
CCDC112,Q8NEF3-2
CCDC113,Q9H0I3
CCDC116,Q8IYX3-2
CCDC117,Q8IWD4
CCDC120,B4DFC1
CCDC126,Q96EE4
CCDC138,Q96M89
CCDC140,Q96MF4
CCDC15,Q0P6D6
CCDC150,Q8NCX0
CCDC170,Q8IYT3
CCDC171,Q6TFL3
CCDC173,Q0VFZ6
CCDC185,Q8N715
CCDC24,Q8N4L8
CCDC27,Q2M243
CCDC28A,Q8IWP9
CCDC33,Q8N5R6-6
CCDC39,Q9UFE4
CCDC47,Q96A33
CCDC50,Q8IVM0-2
CCDC57,Q2TAC2
CCDC60,Q8IWA6
CCDC65,Q8IXS2
CCDC66,A2RUB6
CCDC69,A6NI79
CCDC7,Q96M83
CCDC7,Q9H943
CCDC70,Q6NSX1
CCDC80,Q76M96
CCDC83,Q8IWF9-2
CCDC85C,A6NKD9
CCDC91,Q7Z6B0
CCDC9B,Q6ZUT6
CCL21,O00585
CCL25,O15444
CCL8,P80075
CCN1,O00622
CCN2,P29279
CCN3,P48745
CCN5,O76076
CCNA2,P20248
CCNF,P41002
CCNG2,Q16589
CCNT2,O60583
CCNYL1,Q8N7R7-2
CCP110,O43303-2
CCR10,P46092
CCR3,P51677
CCR4,P51679
CCS,O14618
CCSER1,Q9C0I3
CCSER2,Q9H7U1-3
CD101,Q93033
CD109,Q6YHK3
CD164L2,Q6UWJ8
CD177,Q8N6Q3
CD19,P15391
CD200,P41217-3
CD200R1,Q8TD46
CD209,Q9NNX6
CD28,P10747
CD320,Q9NPF0
CD34,P28906
CD3E,P07766
CD40,P25942
CD40LG,P29965
CD44,P16070
CD48,P09326
CD55,P08174-2
CD83,Q01151
CD84,Q9UIB8-3
CD8A,P01732-2
CD96,P40200-2
CDC23,Q9UJX2
CDC25B,P30305
CDC42BPA,Q5VT25-5
CDC6,Q99741
CDH1,P12830
CDH16,O75309
CDH20,Q9HBT6
CDH26,Q8IXH8-4
CDH3,P22223
CDH6,P55285
CDH8,P55286
CDHR1,Q96JP9
CDHR3,Q6ZTQ4
CDIPT,O14735
CDK12,Q9NYV4
CDK13,Q14004
CDK14,O94921-2
CDK15,Q96Q40
CDK18,Q07002-2
CDK4,P11802
CDK5,Q00535
CDKAL1,Q5VV42
CDKN1A,P38936
CDKN2A,P42771
CDKN2A,Q8N726
CDKN2C,P42773
CDON,Q4KMG0-2
CDRT15,Q96T59
CDT1,Q9H211
CDYL,Q9Y232-2
CEACAM18,A8MTB9
CEACAM19,Q5XJ15
CEACAM21,Q3KPI0
CEACAM5,P06731
CEACAM8,P31997
CEBPE,Q15744
CELSR2,Q9HCU4
CENATAC,Q86UT8
CENPE,Q02224
CENPF,P49454
CENPO,Q9BU64
CENPP,Q6IPU0
CENPU,Q71F23
CENPW,Q5EE01
CEP126,Q9P2H0
CEP135,Q66GS9
CEP164,Q9UPV0
CEP192,E9PF99
CEP295,Q9C0D2
CEP350,Q5VT06
CEP43,O95684
CEP44,Q9C0F1-2
CEP55,Q53EZ4
CEP70,Q8NHQ1
CEP97,Q8IW35
CEPT1,Q9Y6K0
CERKL,Q49MI3-2
CETN1,Q12798
CFAP100,Q494V2
CFAP157,Q5JU67
CFAP43,Q8NDM7
CFAP44,Q96MT7
CFAP45,Q9UL16
CFAP52,Q8N1V2
CFAP58,Q5T655
CFAP77,Q6ZQR2
CFB,B4E1Z4
CFH,P08603
CFHR2,P36980
CFI,P05156
CFP,P27918
CFTR,P13569
CGAS,Q8N884
CGB1,A6NKQ9-2
CGB2,Q6NT52
CGN,Q9P2M7
CHAC2,Q8WUX2
CHAT,P28329
CHD3,E9PG89
CHD6,Q8TD26
CHEK1,O14757
CHEK2,O96017-9
CHFR,Q96EP1
CHGA,P10645
CHGB,P05060
CHI3L1,P36222
CHL1,O00533-2
CHMP7,Q8WUX9
CHODL,Q9H9P2
CHPF,Q8IZ52
CHPF2,Q9P2E5
CHRM2,P08172
CHRM5,P08912
CHRNA10,Q9GZZ6
CHRNB4,P30926
CHRND,Q07001
CHRNG,P07510
CHST12,Q9NRB3
CHST4,Q8NCG5
CHTF18,Q8WVB6
CHTOP,Q9Y3Y2
CIC,Q96RK0
CIDEB,Q9UHD4
CIITA,P33076
CIP2A,Q8TCG1
CIRBP,Q14011
CKLF,Q9UBR5
CLBA1,Q96F83
CLCA1,A8K7I4
CLCA2,Q9UQC9
CLCC1,Q96S66
CLCN1,P35523
CLCN7,P51798
CLCNKA,P51800
CLDN19,Q8N6F1
CLDN9,O95484
CLEC4F,Q8N1N0
CLECL1,Q8IZS7
CLIC5,Q9NZA1
CLIP3,Q96DZ5
CLN8,Q9UBY8
CLP1,Q92989
CLPTM1,O96005
CLRN2,A0PK11
CLRN3,Q8NCR9
CLSPN,Q9HAW4
CLSTN3,Q9BQT9
CLUAP1,Q96AJ1
CMBL,Q96DG6
CMTM1,Q6PEV5
CMTM2,Q8TAZ6
CMTM6,Q9NX76
CMTR2,Q8IYT2
CMYA5,Q8N3K9
CNEP1R1,Q8N9A8-2
CNGA4,Q8IV77
CNGB1,Q14028
CNKSR1,Q53GM7
CNN3,Q15417
CNOT10,Q9H9A5
CNOT8,Q9UFF9
CNP,P09543
CNPY3,Q9BT09
CNRIP1,Q96F85
CNTD1,Q8N815
CNTF,P26441
CNTLN,Q9NXG0-2
CNTN1,Q12860
CNTN2,Q02246
CNTN4,Q8IWV2
CNTRL,Q7Z7A1
CNTROB,Q8N137-2
COBL,O75128
COCH,O43405
COG1,Q8WTW3
COL10A1,Q03692
COL12A1,Q99715
COL15A1,P39059
COL16A1,Q07092
COL18A1,P39060
COL19A1,Q14993
COL1A1,P02452
COL20A1,Q9P218
COL21A1,Q96P44
COL22A1,Q8NFW1
COL24A1,Q17RW2
COL26A1,Q96A83
COL27A1,Q8IZC6
COL28A1,Q2UY09
COL2A1,P02458
COL3A1,P02461
COL4A2,P08572
COL4A3,Q01955
COL4A4,P53420
COL4A6,Q14031-2
COL5A1,P20908
COL5A2,P05997
COL6A1,P12109
COL6A2,P12110
COL6A5,A8TX70-2
COL6A6,A6NMZ7
COL7A1,Q02388
COL8A1,P27658
COL8A2,P25067
COL9A1,P20849
COMMD10,Q9Y6G5
COP1,Q8NHY2
COPS8,Q99627
COPZ1,P61923
COQ6,Q9Y2Z9
CORO1A,P31146
CORO1B,Q9BR76
CORO7,P57737
COX10,Q12887
COX15,Q7KZN9
COX5B,P10606
CP,P00450
CPA2,P48052
CPA3,P15088
CPD,O75976
CPE,P16870
CPEB3,Q8NE35
CPEB4,Q17RY0
CPED1,A4D0V7
CPNE1,Q99829
CPNE3,O75131
CPNE4,Q96A23
CPNE7,Q9UBL6-2
CPO,Q8IVL8
CPS1,P31327
CPSF2,Q9P2I0
CPT2,P23786
CR2,P20023
CRB1,P82279
CRB2,Q5IJ48
CRB3,Q9BUF7-2
CRCP,B4E198
CREB1,P16220
CREB3L4,Q8TEY5
CREB5,Q02930
CRELD2,Q6UXH1-5
CREM,Q03060-16
CRHR1,P34998-2
CRISPLD2,Q9H0B8
CRLS1,Q9UJA2
CRNN,Q9UBG3
CROCC,Q5TZA2
CRP,P02741
CRTAM,O95727
CRTC3,Q6UUV7
CRX,O43186
CRYAA,P02489
CRYBG1,Q9Y4K1
CSF3R,Q99062
CSGALNACT1,Q8TDX6
CSKMT,A8MUP2
CSMD2,E7EUA6
CSMD3,Q7Z407
CST1,P01037
CSTF1,Q05048
CTAG1B,P78358
CTAGE4,Q8IX94
CTC1,Q2NKJ3
CTCF,P49711
CTDP1,Q9Y5B0
CTDSPL2,Q05D32
CTH,P32929
CTHRC1,Q96CG8
CTNNA1,P35221
CTNNB1,P35222
CTNNBL1,Q8WYA6
CTNND1,O60716
CTNND2,Q9UQB3
CTNS,O60931-2
CTPS1,P17812
CTR9,Q6PD62
CTSA,P10619
CTSB,P07858
CTSC,P53634
CTSG,P08311
CTSL,P07711
CUBN,O60494
CUL1,Q13616
CUL4B,Q13620
CUL9,Q8IWT3
CUX1,P39880
CUZD1,Q86UP6
CWH43,Q9H720
CYB5B,O43169
CYB5R2,Q6BCY4
CYBA,P13498
CYBB,P04839
CYFIP2,E7EVJ5
CYLC2,Q14093
CYP11B1,P15538
CYP20A1,Q6UW02
CYP26A1,O43174
CYP26C1,Q6V0L0
CYP27B1,O15528
CYP2S1,Q96SQ9
CYP2W1,Q8TAV3
CYP4A11,Q02928
CYP4F11,Q9HBI6
CYP4X1,Q8N118
CYSLTR1,Q9Y271
CYSLTR2,Q9NS75
DAAM2,G5EA45
DAB2IP,G3XA90
DACT1,Q9NYF0
DARS1,P14868
DAW1,Q8N136
DBF4B,Q8NFT6
DBN1,Q16643
DBNDD2,Q9BQY9
DBR1,Q9UK59
DCAF15,Q66K64
DCAF4,Q8WV16
DCAF6,Q58WW2-2
DCBLD1,Q8N8Z6-2
DCC,P43146
DCHS1,Q96JQ0
DCK,P27707
DCLRE1A,Q6PJP8
DCLRE1C,Q96SD1
DCP2,Q8IU60
DCPS,Q96C86
DCST1,Q5T197
DCSTAMP,Q9H295
DCTN3,O75935
DCX,O43602
DDIAS,Q8IXT1
DDN,O94850
DDR2,Q16832
DDX18,Q9NVP1
DDX19B,Q9UMR2
DDX24,Q9GZR7
DDX25,Q9UHL0
DDX42,Q86XP3
DDX46,Q7L014
DDX50,Q9BQ39
DDX51,Q8N8A6
DDX55,Q8NHQ9
DDX56,Q9NY93
DDX6,P26196
DDX60L,Q5H9U9
DEAF1,O75398
DECR1,Q16698
DEDD2,Q8WXF8
DEF6,Q9H4E7
DEFA1,P59665
DEFB126,Q9BYW3
DEFB129,Q9H1M3
DEFB132,Q7Z7B7
DELE1,Q14154
DELEC1,Q9P2X7
DENND1B,Q6P3S1
DENND2B,P78524
DENND3,A2RUS2
DENND4C,Q5VZ89
DENND5B,Q6ZUT9
DEPDC5,A8MPX9
DERA,Q9Y315
DES,P17661
DGCR6,Q14129
DGKD,Q16760
DGKE,P52429
DGKH,Q86XP1
DGKZ,Q13574
DGLUCY,Q7Z3D6
DGUOK,Q16854
DHCR7,Q9UBM7
DHDH,Q9UQ10
DHODH,Q02127
DHRS9,Q9BPW9
DHTKD1,Q96HY7
DHX32,Q7L7V1
DHX35,Q9H5Z1
DHX38,Q92620
DHX57,Q6P158
DIP2B,Q9P265
DIPK1C,Q0P6D2
DIS3L,Q8TF46
DISC1,Q9NRI5
DISP1,Q96F81
DISP2,A7MBM2
DISP3,Q9P2K9
DKK4,Q9UBT3
DKKL1,Q9UK85
DLEC1,Q9Y238-3
DLGAP1,O14490
DLGAP2,Q9P1A6
DLK1,P80370
DLK2,Q6UY11
DLX4,Q92988
DMBT1,Q9UGM3
DMGDH,Q9UI17
DMP1,Q13316-2
DMRT1,Q9Y5R6
DMRT2,Q9Y5R5
DMRTB1,Q96MA1
DMXL1,Q9Y485
DNAAF1,Q8NEP3
DNAAF4,Q8WXU2
DNAAF8,Q8IYS4
DNAH1,C9JXH6
DNAH10,Q8IVF4
DNAH11,Q96DT5
DNAH12,Q6ZR08
DNAH14,Q0VDD8-4
DNAH17,E7EUM8
DNAH2,Q9P225
DNAH3,Q8TD57
DNAH5,Q8TE73
DNAH6,Q9C0G6
DNAH7,Q8WXX0
DNAH9,Q9NYC9
DNAI1,Q9UI46
DNAI2,Q9GZS0
DNAJB9,Q9UBS3
DNAJC13,O75165
DNAJC16,Q9Y2G8
DNAJC21,Q5F1R6
DNAJC3,Q13217
DNAJC6,O75061
DNASE2B,Q8WZ79
DNHD1,Q96M86
DNLZ,Q5SXM8
DNM2,P50570
DNMBP,Q6XZF7
DNMT3A,Q9Y6K1
DOCK10,Q96BY6
DOCK2,Q92608
DOCK3,Q8IZD9
DOK1,Q99704
DOK2,O60496
DOK3,Q7L591
DOLK,Q9UPQ8
DOP1A,Q5JWR5
DOP1B,Q9Y3R5
DPEP1,P16444
DPH1,Q9BZG8
DPP3,Q9NY33
DPP9,Q1ZZB8
DPY19L4,Q7Z388
DPYS,Q14117
DPYSL5,Q9BPU6
DQX1,Q8TE96
DRC1,Q96MC2
DRC7,Q8IY82
DROSHA,Q9NRR4
DRP2,Q13474
DSE,Q9UL01
DSG1,Q02413
DSG3,P32926
DSG4,Q86SJ6
DSN1,Q9H410
DSP,P15924
DTNB,O60941
DTX3L,Q8TDB6
DTX4,Q9Y2E6
DUOX1,Q9NRD9
DUOX2,Q9NRD8
DUOXA1,A8K9Q6
DUS2,Q9NX74
DUSP11,C9JYA6
DUSP19,Q8WTR2
DYNAP,Q8N1N2
DYNC1H1,Q14204
DYNC1I1,O14576
DYNC2I1,Q8WVS4
DYRK3,O43781
DYSF,O75923-13
DYTN,A2CJ06
E2F7,Q96AV8
E2F8,A0AVK6
ECM1,Q16610
ECT2,Q9H8V3
ECT2L,Q008S8
EDC4,Q6P2E9
EDNRB,P24530
EEF1A1,P68104
EEF1AKMT3,Q96AZ1
EEF1AKMT4ECE2,O60344
EEF1B2,P24534
EEF1G,P26641
EEF2,P13639
EEF2K,O00418
EEPD1,Q7L9B9
EFCAB12,Q6NXP0
EFCAB5,A4FU69
EFCAB6,Q5THR3
EFHB,Q8N7U6
EFHC1,Q5JVL4
EFHC2,Q5JST6
EFNA1,P20827
EFR3A,Q14156
EGF,P01133
EGFL6,Q8IUX8
EGFL8,Q99944
EGFLAM,Q63HQ2-2
EGFR,P00533
EGLN2,Q96KS0
EGR2,P11161
EHBP1,Q8NDI1
EHBP1L1,Q8N3D4
